รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10322390,ก๊อกซิงค์เซรามิควาล์ว Marine DHZ14,EA,ชิ้น,1,1
10322486,"ข้องอลด PVC 13.5 1""x3/4""   A+/THOR",EA,ชิ้น,1,1
10322487,"ข้องอลด PVC 13.5 3/4""x1/2""   A+/THOR",EA,ชิ้น,1,1
10322488,"ข้องออากาศ90 PVC 8.5 4""x1""   THOR",EA,ชิ้น,1,1
10322539,"ข้องอเกลียวใน ท.ล. PVC 3/4""   A+/THOR",EA,ชิ้น,1,1
10322540,"ข้องอลด PVC 13.5 1""x1/2""   A+/THOR",EA,ชิ้น,1,1
10322564,"ข้อต่อตรงลด PVC 13.5 3""x1"" A+/THOR",EA,ชิ้น,1,1
10322568,"ฝาครอบเกลียวใน PVC 13.5 1 1/2""  A+/THOR",EA,ชิ้น,1,1
10322583,"ฝาครอบเกลียวใน PVC 13.5 2"" A+/THOR",EA,ชิ้น,1,1
10323134,รั้วตาข่ายแรงดึง #13สูง90ซม*30ม หัวเสือ,ROL,ม้วน,1,1
10323136,รั้วตาข่ายแรงดึง #13สูง1.20ม*30ม หัวเสือ,ROL,ม้วน,1,1
10323593,"น๊อตกลมเย็น+หัว/ชุบขาว 1/2"" * 5"" กก.NASH",BAG,ถุง,1,1
10323597,"น๊อตกลมเย็น+หัว/ชุบขาว1/2""*5-1/2""กก.NASH",BAG,ถุง,1,1
10323635,"น๊อตกลมเย็น+หัว/ชุบขาว 1/2"" * 6"" กก.NASH",BAG,ถุง,1,1
10323639,"น๊อตกลมเย็น+หัว/ชุบขาว1/2""*6-1/2""กก.NASH",BAG,ถุง,1,1
